id,title,number,lon,lat,distance,image,street,housenumber,zip,city,freiplatzstatus/0/gueltigAb,freiplatzstatus/0/plaetzeVerfuegbar,freiplatzstatus/1/gueltigAb,freiplatzstatus/1/plaetzeVerfuegbar,freiplatzstatus/2/gueltigAb,freiplatzstatus/2/plaetzeVerfuegbar,freiplatzstatus/3/gueltigAb,freiplatzstatus/3/plaetzeVerfuegbar,freiplatzstatus/4/gueltigAb,freiplatzstatus/4/plaetzeVerfuegbar,freiplatzstatus/5/gueltigAb,freiplatzstatus/5/plaetzeVerfuegbar,freiplatzstatus/6/gueltigAb,freiplatzstatus/6/plaetzeVerfuegbar,freiplatzstatus/7/gueltigAb,freiplatzstatus/7/plaetzeVerfuegbar,freiplatzstatus/8/gueltigAb,freiplatzstatus/8/plaetzeVerfuegbar
1107229,Kita ARTur,10231500,13.602720215964503,52.532011605033986,13.97,/fallback_einrichtung_vorschau.jpg,Schneeberger Str.,1,12627,Berlin,2022-06-01,true,2022-07-01,true,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true,2023-02-01,true
1554,Kita Fichtestraße,12200330,13.305480753643328,52.612405172393494,13.97,/fallback_einrichtung_vorschau.jpg,Fichtestr.,5,13467,Berlin,2022-05-01,false,2022-06-01,false,2022-07-01,false,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true
779,Kita Oranienburger Tor,05080800,13.20652053191166,52.54145288384507,13.99,/fallback_einrichtung_vorschau.jpg,Neuendorfer Str.,3,13585,Berlin,2022-05-01,true,2022-06-01,true,2022-07-01,true,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true
1224,Kita Orgelpfeifen,03180510,13.493403478708899,52.61450873189682,13.99,/fallback_einrichtung_vorschau.jpg,Münchehagenstr.,43,13125,Berlin,2022-05-01,true,2022-06-01,true,2022-07-01,true,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true
2235,"Kindergarten ""Zu den Seen""",10230640,13.609245045350185,52.50169128811406,13.99,/bilder/einrichtungsvorschau/2235,Elsenstr.,11,12623,Berlin,2022-05-01,true,2022-06-01,true,2022-07-01,true,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true
743229,Kita Kinderlachen,10231140,13.60840666228956,52.51344867582937,14,/fallback_einrichtung_vorschau.jpg,Giesestr.,80,12623,Berlin,2022-06-01,false,2022-07-01,false,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true,2023-02-01,true
613329,Kita Pichelsdorfer Zwerge,05081930,13.197522996340505,52.518387473875464,14,/bilder/einrichtungsvorschau/613329,Pichelsdorfer Str.,53,13595,Berlin,2022-06-01,false,2022-07-01,false,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true,2023-02-01,true
538,Kita Kinder in Bewegung (KiB),05081260,13.20967670453304,52.547206528481894,14,/bilder/einrichtungsvorschau/538,Brauereihof,1,13585,Berlin,2022-05-01,true,2022-06-01,true,2022-07-01,true,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true
822279,Kita Bunte Kinderwelten,10231260,13.609223021109418,52.50906354128886,14.02,/fallback_einrichtung_vorschau.jpg,Wilhelmsmühlenweg,178A,12623,Berlin,2022-06-01,false,2022-07-01,false,2022-08-01,false,2022-09-01,false,2022-10-01,false,2022-11-01,false,2022-12-01,false,2023-01-01,false,2023-02-01,false
154129,Kita  Kastanienknirpse,10230950,13.600021798891166,52.539950989009704,14.03,/fallback_einrichtung_vorschau.jpg,Kastanienallee,53,12627,Berlin,2022-05-01,true,2022-06-01,true,2022-07-01,true,2022-08-01,true,2022-09-01,true,2022-10-01,true,2022-11-01,true,2022-12-01,true,2023-01-01,true
